epoch,lr,train_loss,val_loss,test_loss,train_loss_y,train_loss_dy,val_loss_y,val_loss_dy,test_loss_y,test_loss_dy,step
0,0.00011899999663000926,566.7398681640625,1004.5347290039062,8.467618942260742,1173.91650390625,414.94573974609375,4605.4111328125,104.31550598144531,12.521905899047852,7.454047679901123,118
1,0.00023799999326001853,77.78633117675781,916.2135009765625,,118.54584503173828,67.59645080566406,4375.828125,51.309791564941406,,,237
2,0.00035700001171790063,65.05287170410156,860.615234375,,152.66883850097656,43.14888000488281,4175.810546875,31.816421508789062,,,356
3,0.00047599998652003706,60.0539436340332,815.160400390625,,177.6405029296875,30.657302856445312,3981.44140625,23.590051651000977,,,475
4,0.0005949999904260039,68.75450134277344,776.6712646484375,,243.41647338867188,25.08901023864746,3799.314208984375,21.01055145263672,,,594
5,0.0007140000234358013,56.09135055541992,736.2706909179688,,199.7493896484375,20.176830291748047,3618.934326171875,15.604738235473633,,,713
6,0.0008329999982379377,47.088104248046875,703.5384521484375,,157.65579223632812,19.446182250976562,3438.9609375,19.682899475097656,,,832
7,0.0009519999730400741,40.48942565917969,668.368408203125,,124.5185546875,19.482145309448242,3277.529296875,16.078155517578125,,,951
8,0.0010000000474974513,42.62166213989258,636.54833984375,,153.60235595703125,14.876483917236328,3127.470703125,13.817708015441895,,,1070
9,0.0010000000474974513,37.0020751953125,603.4299926757812,,136.01788330078125,12.248126029968262,2971.3779296875,11.442974090576172,,,1189
10,0.0010000000474974513,27.57052230834961,578.8941040039062,2.6985883712768555,92.6824951171875,11.29252815246582,2822.9453125,17.881244659423828,1.3326873779296875,3.0400633811950684,1308
11,0.0010000000474974513,25.211483001708984,544.122802734375,,77.0594482421875,12.249492645263672,2682.3359375,9.56949234008789,,,1427
12,0.0010000000474974513,26.804386138916016,518.5284423828125,,96.0999526977539,9.480493545532227,2552.298095703125,10.086005210876465,,,1546
13,0.0010000000474974513,19.32048225402832,498.5785217285156,,62.7324333190918,8.467493057250977,2460.14501953125,8.186927795410156,,,1665
14,0.0010000000474974513,26.259653091430664,475.27276611328125,,97.40931701660156,8.472236633300781,2338.53759765625,9.45649528503418,,,1784
15,0.0010000000474974513,25.015541076660156,450.2125244140625,,94.27465057373047,7.700763702392578,2221.7060546875,7.339104652404785,,,1903
16,0.0010000000474974513,19.934558868408203,429.27154541015625,,69.73275756835938,7.485008239746094,2111.218994140625,8.784627914428711,,,2022
17,0.0010000000474974513,16.080204010009766,409.7067565917969,,50.97784423828125,7.355795860290527,2011.9171142578125,9.15414810180664,,,2141
18,0.0010000000474974513,18.28213119506836,388.994384765625,,62.77595520019531,7.158675193786621,1913.5172119140625,7.863641738891602,,,2260
19,0.0010000000474974513,15.721324920654297,369.2277526855469,,52.59111785888672,6.503877639770508,1819.375732421875,6.6907243728637695,,,2379
20,0.0010000000474974513,17.31063461303711,352.678466796875,3.456943988800049,59.36871337890625,6.796113014221191,1732.751220703125,7.660266876220703,9.371273040771484,1.9783613681793213,2498
21,0.0010000000474974513,16.76451873779297,334.3915710449219,,57.036991119384766,6.696402072906494,1646.18408203125,6.443446636199951,,,2617
22,0.0010000000474974513,15.171937942504883,319.2005615234375,,51.86804962158203,5.9979095458984375,1563.96142578125,8.010309219360352,,,2736
23,0.0010000000474974513,16.22159767150879,301.2688293457031,,57.354549407958984,5.938358306884766,1485.83349609375,5.127634048461914,,,2855
24,0.0010000000474974513,15.381032943725586,287.0765380859375,,54.58275604248047,5.580600738525391,1413.10302734375,5.569883346557617,,,2974
25,0.0010000000474974513,15.037765502929688,272.4339599609375,,54.742530822753906,5.111573219299316,1342.518310546875,4.912888526916504,,,3093
26,0.0010000000474974513,11.920717239379883,263.3951721191406,,36.578243255615234,5.756335258483887,1294.1466064453125,5.707314968109131,,,3212
27,0.0010000000474974513,13.575672149658203,250.72091674804688,,47.12045669555664,5.189476013183594,1229.8182373046875,5.946566581726074,,,3331
